"Date","Block","IndirectMainMeters","IndirectSubMeters","IndirectNetConsumption","DirectMainMeters","DirectSubMeters","DirectNetConsumption","TotalMainMeters","TotalNetConsumption","TotalNetConsumptionRate"
2017-07-31,"PG_B1",149276,146518,2758,50343,46304,4039,199619,6797,3.4
2017-07-31,"PG_B2",140689,141646,-957,34692,33212,1480,175381,523,0.3
2017-07-31,"PG_B3",123025,119385,3640,34625,32039,2586,157650,6226,3.95
2017-07-31,"PG_B4",84425,88518,-4093,33623,32100,1523,118048,-2570,-2.18
2017-07-31,"PG_B5",119044,122188,-3144,49405,45241,4164,168449,1020,0.61
2017-07-30,"PG_B1",197254,193243,4011,68362,62295,6067,265616,10078,3.79
2017-07-30,"PG_B2",184518,185249,-731,45361,43599,1762,229879,1031,0.45
2017-07-30,"PG_B3",164745,156256,8489,41818,38880,2938,206563,11427,5.53
2017-07-30,"PG_B4",118533,119163,-630,43086,41386,1700,161619,1070,0.66
2017-07-30,"PG_B5",161527,164414,-2887,64106,59497,4609,225633,1722,0.76
2017-07-29,"PG_B1",247751,236072,11679,82849,75129,7720,330600,19399,5.87
2017-07-29,"PG_B2",227103,227815,-712,55540,53179,2361,282643,1649,0.58
2017-07-29,"PG_B3",192490,193402,-912,49544,45934,3610,242034,2698,1.11
2017-07-29,"PG_B4",143842,149528,-5686,52120,50353,1767,195962,-3919,-2
2017-07-29,"PG_B5",198165,202095,-3930,80301,75311,4990,278466,1060,0.38
2017-07-28,"PG_B1",288599,275577,13022,96707,87795,8912,385306,21934,5.69
2017-07-28,"PG_B2",264807,267713,-2906,65390,62876,2514,330197,-392,-0.12
2017-07-28,"PG_B3",232758,226546,6212,59729,55630,4099,292487,10311,3.53
2017-07-28,"PG_B4",170250,174679,-4429,59840,57923,1917,230090,-2512,-1.09
2017-07-28,"PG_B5",234119,238159,-4040,92604,87144,5460,326723,1420,0.43
2017-07-27,"PG_B1",325513,314377,11136,109409,100111,9298,434922,20434,4.7
2017-07-27,"PG_B2",308796,309195,-399,73900,71042,2858,382696,2459,0.64
2017-07-27,"PG_B3",268334,259115,9219,71916,67102,4814,340250,14033,4.12
2017-07-27,"PG_B4",194957,199759,-4802,68431,66382,2049,263388,-2753,-1.05
2017-07-27,"PG_B5",273211,274390,-1179,105203,99727,5476,378414,4297,1.14
2017-07-26,"PG_B1",368136,352539,15597,122075,112615,9460,490211,25057,5.11
2017-07-26,"PG_B2",347533,348460,-927,83174,80131,3043,430707,2116,0.49
2017-07-26,"PG_B3",300970,292793,8177,83038,77684,5354,384008,13531,3.52
2017-07-26,"PG_B4",222765,226128,-3363,77211,75126,2085,299976,-1278,-0.43
2017-07-26,"PG_B5",302928,311155,-8227,118301,112278,6023,421229,-2204,-0.52
2017-07-25,"PG_B1",406198,392552,13646,137328,127446,9882,543526,23528,4.33
2017-07-25,"PG_B2",388479,388217,262,92400,89132,3268,480879,3530,0.73
2017-07-25,"PG_B3",339146,326318,12828,93643,87582,6061,432789,18889,4.36
2017-07-25,"PG_B4",261075,254923,6152,84917,82752,2165,345992,8317,2.4
2017-07-25,"PG_B5",342385,346918,-4533,130503,124186,6317,472888,1784,0.38
2017-07-24,"PG_B1",448629,432760,15869,151640,141387,10253,600269,26122,4.35
2017-07-24,"PG_B2",437302,429874,7428,101126,97629,3497,538428,10925,2.03
2017-07-24,"PG_B3",369798,361149,8649,104094,97358,6736,473892,15385,3.25
2017-07-24,"PG_B4",285482,282399,3083,94222,91875,2347,379704,5430,1.43
2017-07-24,"PG_B5",385071,385435,-364,146062,139355,6707,531133,6343,1.19
2017-07-23,"PG_B1",485885,476285,9600,165503,155023,10480,651388,20080,3.08
2017-07-23,"PG_B2",481620,474874,6746,112532,108623,3909,594152,10655,1.79
2017-07-23,"PG_B3",411110,398653,12457,112503,105194,7309,523613,19766,3.77
2017-07-23,"PG_B4",322390,313999,8391,103364,100857,2507,425754,10898,2.56
2017-07-23,"PG_B5",430884,429120,1764,160200,153288,6912,591084,8676,1.47
2017-07-22,"PG_B1",534343,517793,16550,179492,168508,10984,713835,27534,3.86
2017-07-22,"PG_B2",521503,517488,4015,122316,118158,4158,643819,8173,1.27
2017-07-22,"PG_B3",451198,435898,15300,121179,113287,7892,572377,23192,4.05
2017-07-22,"PG_B4",348097,346906,1191,113219,110714,2505,461316,3696,0.8
2017-07-22,"PG_B5",470993,473255,-2262,175100,167970,7130,646093,4868,0.75
2017-07-21,"PG_B1",575663,558368,17295,191730,180511,11219,767393,28514,3.72
2017-07-21,"PG_B2",560230,556241,3989,129890,127347,2543,690120,6532,0.95
2017-07-21,"PG_B3",487752,469248,18504,128230,119826,8404,615982,26908,4.37
2017-07-21,"PG_B4",385406,375733,9673,121226,118605,2621,506632,12294,2.43
2017-07-21,"PG_B5",512986,512713,273,189504,182042,7462,702490,7735,1.1
2017-07-20,"PG_B1",614813,597701,17112,206556,195068,11488,821369,28600,3.48
2017-07-20,"PG_B2",605542,595700,9842,138864,136068,2796,744406,12638,1.7
2017-07-20,"PG_B3",519895,501827,18068,140232,131107,9125,660127,27193,4.12
2017-07-20,"PG_B4",410614,400607,10007,129481,126729,2752,540095,12759,2.36
2017-07-20,"PG_B5",551192,549632,1560,203402,195534,7868,754594,9428,1.25
2017-07-19,"PG_B1",651813,637621,14192,219612,207798,11814,871425,26006,2.98
2017-07-19,"PG_B2",644942,634586,10356,149286,146125,3161,794228,13517,1.7
2017-07-19,"PG_B3",555636,535000,20636,151119,141215,9904,706755,30540,4.32
2017-07-19,"PG_B4",434821,426937,7884,138905,136131,2774,573726,10658,1.86
2017-07-19,"PG_B5",592185,586836,5349,217183,208751,8432,809368,13781,1.7
2017-07-18,"PG_B1",690944,677193,13751,232671,220575,12096,923615,25847,2.8
2017-07-18,"PG_B2",686637,675977,10660,159928,156367,3561,846565,14221,1.68
2017-07-18,"PG_B3",587489,569048,18441,162293,151030,11263,749782,29704,3.96
2017-07-18,"PG_B4",468429,453359,15070,147372,144461,2911,615801,17981,2.92
2017-07-18,"PG_B5",627880,623628,4252,231494,223100,8394,859374,12646,1.47
2017-07-17,"PG_B1",739764,716811,22953,245907,233310,12597,985671,35550,3.61
2017-07-17,"PG_B2",729102,715324,13778,170406,166490,3916,899508,17694,1.97
2017-07-17,"PG_B3",615085,605237,9848,173001,160738,12263,788086,22111,2.81
2017-07-17,"PG_B4",491737,478989,12748,156483,153376,3107,648220,15855,2.45
2017-07-17,"PG_B5",665737,663123,2614,246100,237375,8725,911837,11339,1.24
2017-07-16,"PG_B1",775839,759163,16676,261338,248544,12794,1037177,29470,2.84
2017-07-16,"PG_B2",776813,759012,17801,180866,176593,4273,957679,22074,2.3
2017-07-16,"PG_B3",642428,642287,141,181049,168095,12954,823477,13095,1.59
2017-07-16,"PG_B4",528145,509539,18606,165132,161998,3134,693277,21740,3.14
2017-07-16,"PG_B5",705514,707788,-2274,260299,251233,9066,965813,6792,0.7
2017-07-15,"PG_B1",814521,802103,12418,275184,262073,13111,1089705,25529,2.34
2017-07-15,"PG_B2",820102,799719,20383,191942,187096,4846,1012044,25229,2.49
2017-07-15,"PG_B3",682901,678297,4604,189273,175532,13741,872174,18345,2.1
2017-07-15,"PG_B4",552453,538645,13808,172158,168983,3175,724611,16983,2.34
2017-07-15,"PG_B5",743137,745891,-2754,274096,264953,9143,1017233,6389,0.63
2017-07-14,"PG_B1",853498,841142,12356,287643,274205,13438,1141141,25794,2.26
2017-07-14,"PG_B2",851073,836904,14169,201288,196110,5178,1052361,19347,1.84
2017-07-14,"PG_B3",710965,710092,873,200427,185796,14631,911392,15504,1.7
2017-07-14,"PG_B4",581661,563654,18007,180961,177503,3458,762622,21465,2.81
2017-07-14,"PG_B5",780944,783438,-2494,287291,277875,9416,1068235,6922,0.65
2017-07-13,"PG_B1",892601,879072,13529,301841,288150,13691,1194442,27220,2.28
2017-07-13,"PG_B2",896844,877240,19604,210676,205063,5613,1107520,25217,2.28
2017-07-13,"PG_B3",750807,741377,9430,213416,197522,15894,964223,25324,2.63
2017-07-13,"PG_B4",608969,588340,20629,188689,185176,3513,797658,24142,3.03
2017-07-13,"PG_B5",820724,820910,-186,300997,291070,9927,1121721,9741,0.87
2017-07-12,"PG_B1",928918,916149,12769,315841,301796,14045,1244759,26814,2.15
2017-07-12,"PG_B2",934990,918274,16716,221028,215125,5903,1156018,22619,1.96
2017-07-12,"PG_B3",778828,773794,5034,224165,207111,17054,1002993,22088,2.2
2017-07-12,"PG_B4",638577,612500,26077,196964,193318,3646,835541,29723,3.56
2017-07-12,"PG_B5",856396,858213,-1817,315495,305225,10270,1171891,8453,0.72
2017-07-11,"PG_B1",965229,953854,11375,328510,314180,14330,1293739,25705,1.99
2017-07-11,"PG_B2",974743,957204,17539,230626,224416,6210,1205369,23749,1.97
2017-07-11,"PG_B3",810961,805963,4998,235378,217225,18153,1046339,23151,2.21
2017-07-11,"PG_B4",661984,638588,23396,206198,202142,4056,868182,27452,3.16
2017-07-11,"PG_B5",895217,894807,410,329101,318552,10549,1224318,10959,0.9
2017-07-10,"PG_B1",1000498,990543,9955,342259,327699,14560,1342757,24515,1.83
2017-07-10,"PG_B2",1022346,997739,24607,240810,234399,6411,1263156,31018,2.46
2017-07-10,"PG_B3",847787,839689,8098,247575,227755,19820,1095362,27918,2.55
2017-07-10,"PG_B4",688691,665556,23135,215111,210840,4271,903802,27406,3.03
2017-07-10,"PG_B5",936279,932806,3473,343799,332889,10910,1280078,14383,1.12
2017-07-09,"PG_B1",1050703,1035002,15701,356190,341360,14830,1406893,30531,2.17
2017-07-09,"PG_B2",1065655,1041820,23835,252748,245817,6931,1318403,30766,2.33
2017-07-09,"PG_B3",889705,875725,13980,256674,235781,20893,1146379,34873,3.04
2017-07-09,"PG_B4",719998,693553,26445,223904,219439,4465,943902,30910,3.27
2017-07-09,"PG_B5",983316,977496,5820,359004,347718,11286,1342320,17106,1.27
2017-07-08,"PG_B1",1091503,1074592,16911,371052,355795,15257,1462555,32168,2.2
2017-07-08,"PG_B2",1104044,1084089,19955,265313,258118,7195,1369357,27150,1.98
2017-07-08,"PG_B3",918120,912227,5893,265837,243362,22475,1183957,28368,2.4
2017-07-08,"PG_B4",756208,723351,32857,232728,228184,4544,988936,37401,3.78
2017-07-08,"PG_B5",1022088,1018996,3092,372598,361077,11521,1394686,14613,1.05
2017-07-07,"PG_B1",1131719,1113445,18274,383672,368058,15614,1515391,33888,2.24
2017-07-07,"PG_B2",1147563,1125626,21937,275005,267411,7594,1422568,29531,2.08
2017-07-07,"PG_B3",958348,948449,9899,277954,253446,24508,1236302,34407,2.78
2017-07-07,"PG_B4",781616,749232,32384,240218,235605,4613,1021834,36997,3.62
2017-07-07,"PG_B5",1061876,1055986,5890,388000,375728,12272,1449876,18162,1.25
2017-07-06,"PG_B1",1172181,1154239,17942,396095,380236,15859,1568276,33801,2.16
2017-07-06,"PG_B2",1188234,1165188,23046,285284,277352,7932,1473518,30978,2.1
2017-07-06,"PG_B3",986338,979750,6588,289543,263705,25838,1275881,32426,2.54
2017-07-06,"PG_B4",806223,773768,32455,248119,243476,4643,1054342,37098,3.52
2017-07-06,"PG_B5",1099439,1093936,5503,402402,389733,12669,1501841,18172,1.21
2017-07-05,"PG_B1",1209640,1193013,16627,409736,393411,16325,1619376,32952,2.03
2017-07-05,"PG_B2",1229494,1203860,25634,296176,287701,8475,1525670,34109,2.24
2017-07-05,"PG_B3",1026360,1011175,15185,300485,273394,27091,1326845,42276,3.19
2017-07-05,"PG_B4",830630,798870,31760,256695,252042,4653,1087325,36413,3.35
2017-07-05,"PG_B5",1133466,1130050,3416,416000,402949,13051,1549466,16467,1.06
2017-07-04,"PG_B1",1248658,1234122,14536,422265,405548,16717,1670923,31253,1.87
2017-07-04,"PG_B2",1265688,1241544,24144,305858,296978,8880,1571546,33024,2.1
2017-07-04,"PG_B3",1054588,1042141,12447,312662,284178,28484,1367250,40931,2.99
2017-07-04,"PG_B4",864637,826093,38544,264038,259171,4867,1128675,43411,3.85
2017-07-04,"PG_B5",1167034,1169728,-2694,430400,417268,13132,1597434,10438,0.65
2017-07-03,"PG_B1",1293098,1276162,16936,436180,419202,16978,1729278,33914,1.96
2017-07-03,"PG_B2",1308461,1280540,27921,316584,307297,9287,1625045,37208,2.29
2017-07-03,"PG_B3",1094263,1075962,18301,324613,294178,30435,1418876,48736,3.43
2017-07-03,"PG_B4",890346,853698,36648,272111,267073,5038,1162457,41686,3.59
2017-07-03,"PG_B5",1200321,1205798,-5477,444297,430871,13426,1644618,7949,0.48
2017-07-02,"PG_B1",1336953,1321840,15113,449859,432365,17494,1786812,32607,1.82
2017-07-02,"PG_B2",1358342,1324910,33432,328247,318686,9561,1686589,42993,2.55
2017-07-02,"PG_B3",1130467,1111912,18555,332267,300751,31516,1462734,50071,3.42
2017-07-02,"PG_B4",926656,883118,43538,282095,277027,5068,1208751,48606,4.02
2017-07-02,"PG_B5",1245094,1248941,-3847,461159,446628,14531,1706253,10684,0.63
2017-07-01,"PG_B1",1388212,1365379,22833,465917,448342,17575,1854129,40408,2.18
2017-07-01,"PG_B2",1401061,1370290,30771,339359,329455,9904,1740420,40675,2.34
2017-07-01,"PG_B3",1163507,1147855,15652,341823,308572,33251,1505330,48903,3.25
2017-07-01,"PG_B4",954865,914304,40561,291146,285982,5164,1246011,45725,3.67
2017-07-01,"PG_B5",1284779,1288701,-3922,475097,460888,14209,1759876,10287,0.58
