"","service_point_sn","date_consumption","adjusted_consumption","is_leak"
"1","3004520911",2018-01-01 00:00:00,20,"TRUE"
"2","3004520911",2018-01-01 01:00:00,20,"TRUE"
"3","3004520911",2018-01-01 02:00:00,19,"TRUE"
"4","3004520911",2018-01-01 03:00:00,19,"TRUE"
"5","3004520911",2018-01-01 04:00:00,45,"TRUE"
"6","3004520911",2018-01-01 05:00:00,63,"TRUE"
"7","3004520911",2018-01-01 06:00:00,20,"TRUE"
"8","3004520911",2018-01-01 07:00:00,23,"TRUE"
"9","3004520911",2018-01-01 08:00:00,21,"TRUE"
"10","3004520911",2018-01-01 09:00:00,19,"TRUE"
"11","3004520911",2018-01-01 10:00:00,20,"TRUE"
"12","3004520911",2018-01-01 11:00:00,20,"TRUE"
"13","3004520911",2018-01-01 12:00:00,20,"TRUE"
"14","3004520911",2018-01-01 13:00:00,20,"TRUE"
"15","3004520911",2018-01-01 14:00:00,20,"TRUE"
"16","3004520911",2018-01-01 15:00:00,22,"TRUE"
"17","3004520911",2018-01-01 16:00:00,22,"TRUE"
"18","3004520911",2018-01-01 17:00:00,20,"TRUE"
"19","3004520911",2018-01-01 18:00:00,17,"TRUE"
"20","3004520911",2018-01-01 19:00:00,25,"TRUE"
"21","3004520911",2018-01-01 20:00:00,50,"TRUE"
"22","3004520911",2018-01-01 21:00:00,87,"TRUE"
"23","3004520911",2018-01-01 22:00:00,81,"TRUE"
"24","3004520911",2018-01-01 23:00:00,34,"TRUE"
"25","3004520911",2018-01-02 00:00:00,51,"TRUE"
"26","3004520911",2018-01-02 01:00:00,29,"TRUE"
"27","3004520911",2018-01-02 02:00:00,20,"TRUE"
"28","3004520911",2018-01-02 03:00:00,17,"TRUE"
"29","3004520911",2018-01-02 04:00:00,17,"TRUE"
"30","3004520911",2018-01-02 05:00:00,18,"TRUE"
"31","3004520911",2018-01-02 06:00:00,37,"TRUE"
"32","3004520911",2018-01-02 07:00:00,47,"TRUE"
"33","3004520911",2018-01-02 08:00:00,33,"TRUE"
"34","3004520911",2018-01-02 09:00:00,45,"TRUE"
"35","3004520911",2018-01-02 10:00:00,20,"TRUE"
"36","3004520911",2018-01-02 11:00:00,19,"TRUE"
"37","3004520911",2018-01-02 12:00:00,20,"TRUE"
"38","3004520911",2018-01-02 13:00:00,19,"TRUE"
"39","3004520911",2018-01-02 14:00:00,19,"TRUE"
"40","3004520911",2018-01-02 15:00:00,19,"TRUE"
"41","3004520911",2018-01-02 16:00:00,19,"TRUE"
"42","3004520911",2018-01-02 17:00:00,20,"TRUE"
"43","3004520911",2018-01-02 18:00:00,19,"TRUE"
"44","3004520911",2018-01-02 19:00:00,19,"TRUE"
"45","3004520911",2018-01-02 20:00:00,23,"TRUE"
"46","3004520911",2018-01-02 21:00:00,38,"TRUE"
"47","3004520911",2018-01-02 22:00:00,68,"TRUE"
"48","3004520911",2018-01-02 23:00:00,99,"TRUE"
"49","3004520911",2018-01-03 00:00:00,74,"TRUE"
"50","3004520911",2018-01-03 01:00:00,25,"TRUE"
"51","3004520911",2018-01-03 02:00:00,36,"TRUE"
"52","3004520911",2018-01-03 03:00:00,49,"TRUE"
"53","3004520911",2018-01-03 04:00:00,18,"TRUE"
"54","3004520911",2018-01-03 05:00:00,18,"TRUE"
"55","3004520911",2018-01-03 06:00:00,41,"TRUE"
"56","3004520911",2018-01-03 07:00:00,56,"TRUE"
"57","3004520911",2018-01-03 08:00:00,30,"TRUE"
"58","3004520911",2018-01-03 09:00:00,39,"TRUE"
"59","3004520911",2018-01-03 10:00:00,21,"TRUE"
"60","3004520911",2018-01-03 11:00:00,21,"TRUE"
"61","3004520911",2018-01-03 12:00:00,20,"TRUE"
"62","3004520911",2018-01-03 13:00:00,20,"TRUE"
"63","3004520911",2018-01-03 14:00:00,20,"TRUE"
"64","3004520911",2018-01-03 15:00:00,20,"TRUE"
"65","3004520911",2018-01-03 16:00:00,20,"TRUE"
"66","3004520911",2018-01-03 17:00:00,20,"TRUE"
"67","3004520911",2018-01-03 18:00:00,20,"TRUE"
"68","3004520911",2018-01-03 19:00:00,20,"TRUE"
"69","3004520911",2018-01-03 20:00:00,23,"TRUE"
"70","3004520911",2018-01-03 21:00:00,30,"TRUE"
"71","3004520911",2018-01-03 22:00:00,88,"TRUE"
"72","3004520911",2018-01-03 23:00:00,143,"TRUE"
"73","3004520911",2018-01-04 00:00:00,56,"TRUE"
"74","3004520911",2018-01-04 01:00:00,23,"TRUE"
"75","3004520911",2018-01-04 02:00:00,21,"TRUE"
"76","3004520911",2018-01-04 03:00:00,23,"TRUE"
"77","3004520911",2018-01-04 04:00:00,22,"TRUE"
"78","3004520911",2018-01-04 05:00:00,22,"TRUE"
"79","3004520911",2018-01-04 06:00:00,47,"TRUE"
"80","3004520911",2018-01-04 07:00:00,63,"TRUE"
"81","3004520911",2018-01-04 08:00:00,29,"TRUE"
"82","3004520911",2018-01-04 09:00:00,45,"TRUE"
"83","3004520911",2018-01-04 10:00:00,40,"TRUE"
"84","3004520911",2018-01-04 11:00:00,20,"TRUE"
"85","3004520911",2018-01-04 12:00:00,22,"TRUE"
"86","3004520911",2018-01-04 13:00:00,19,"TRUE"
"87","3004520911",2018-01-04 14:00:00,21,"TRUE"
"88","3004520911",2018-01-04 15:00:00,21,"TRUE"
"89","3004520911",2018-01-04 16:00:00,20,"TRUE"
"90","3004520911",2018-01-04 17:00:00,20,"TRUE"
"91","3004520911",2018-01-04 18:00:00,23,"TRUE"
"92","3004520911",2018-01-04 19:00:00,29,"TRUE"
"93","3004520911",2018-01-04 20:00:00,25,"TRUE"
"94","3004520911",2018-01-04 21:00:00,19,"TRUE"
"95","3004520911",2018-01-04 22:00:00,59,"TRUE"
"96","3004520911",2018-01-04 23:00:00,95,"TRUE"
"97","3004520911",2018-01-05 00:00:00,38,"TRUE"
"98","3004520911",2018-01-05 01:00:00,27,"TRUE"
"99","3004520911",2018-01-05 02:00:00,22,"TRUE"
"100","3004520911",2018-01-05 03:00:00,23,"TRUE"
"101","3004520911",2018-01-05 04:00:00,20,"TRUE"
"102","3004520911",2018-01-05 05:00:00,21,"TRUE"
"103","3004520911",2018-01-05 06:00:00,41,"TRUE"
"104","3004520911",2018-01-05 07:00:00,60,"TRUE"
"105","3004520911",2018-01-05 08:00:00,41,"TRUE"
"106","3004520911",2018-01-05 09:00:00,51,"TRUE"
"107","3004520911",2018-01-05 10:00:00,33,"TRUE"
"108","3004520911",2018-01-05 11:00:00,21,"TRUE"
"109","3004520911",2018-01-05 12:00:00,19,"TRUE"
"110","3004520911",2018-01-05 13:00:00,21,"TRUE"
"111","3004520911",2018-01-05 14:00:00,22,"TRUE"
"112","3004520911",2018-01-05 15:00:00,23,"TRUE"
"113","3004520911",2018-01-05 16:00:00,23,"TRUE"
"114","3004520911",2018-01-05 17:00:00,22,"TRUE"
"115","3004520911",2018-01-05 18:00:00,23,"TRUE"
"116","3004520911",2018-01-05 19:00:00,35,"TRUE"
"117","3004520911",2018-01-05 20:00:00,42,"TRUE"
"118","3004520911",2018-01-05 21:00:00,31,"TRUE"
"119","3004520911",2018-01-05 22:00:00,72,"TRUE"
"120","3004520911",2018-01-05 23:00:00,73,"TRUE"
"121","3004520911",2018-01-06 00:00:00,19,"TRUE"
"122","3004520911",2018-01-06 01:00:00,22,"TRUE"
"123","3004520911",2018-01-06 02:00:00,28,"TRUE"
"124","3004520911",2018-01-06 03:00:00,23,"TRUE"
"125","3004520911",2018-01-06 04:00:00,20,"TRUE"
"126","3004520911",2018-01-06 05:00:00,26,"TRUE"
"127","3004520911",2018-01-06 06:00:00,48,"TRUE"
"128","3004520911",2018-01-06 07:00:00,56,"TRUE"
"129","3004520911",2018-01-06 08:00:00,22,"TRUE"
"130","3004520911",2018-01-06 09:00:00,36,"TRUE"
"131","3004520911",2018-01-06 10:00:00,44,"TRUE"
"132","3004520911",2018-01-06 11:00:00,22,"TRUE"
"133","3004520911",2018-01-06 12:00:00,23,"TRUE"
"134","3004520911",2018-01-06 13:00:00,28,"TRUE"
"135","3004520911",2018-01-06 14:00:00,36,"TRUE"
"136","3004520911",2018-01-06 15:00:00,24,"TRUE"
"137","3004520911",2018-01-06 16:00:00,37,"TRUE"
"138","3004520911",2018-01-06 17:00:00,46,"TRUE"
"139","3004520911",2018-01-06 18:00:00,19,"TRUE"
"140","3004520911",2018-01-06 19:00:00,19,"TRUE"
"141","3004520911",2018-01-06 20:00:00,18,"TRUE"
"142","3004520911",2018-01-06 21:00:00,19,"TRUE"
"143","3004520911",2018-01-06 22:00:00,20,"TRUE"
"144","3004520911",2018-01-06 23:00:00,39,"TRUE"
"145","3004520911",2018-01-07 00:00:00,75,"TRUE"
"146","3004520911",2018-01-07 01:00:00,65,"TRUE"
"147","3004520911",2018-01-07 02:00:00,31,"TRUE"
"148","3004520911",2018-01-07 03:00:00,26,"TRUE"
"149","3004520911",2018-01-07 04:00:00,22,"TRUE"
"150","3004520911",2018-01-07 05:00:00,23,"TRUE"
"151","3004520911",2018-01-07 06:00:00,23,"TRUE"
"152","3004520911",2018-01-07 07:00:00,40,"TRUE"
"153","3004520911",2018-01-07 08:00:00,48,"TRUE"
"154","3004520911",2018-01-07 09:00:00,23,"TRUE"
"155","3004520911",2018-01-07 10:00:00,23,"TRUE"
"156","3004520911",2018-01-07 11:00:00,23,"TRUE"
"157","3004520911",2018-01-07 12:00:00,26,"TRUE"
"158","3004520911",2018-01-07 13:00:00,25,"TRUE"
"159","3004520911",2018-01-07 14:00:00,27,"TRUE"
"160","3004520911",2018-01-07 15:00:00,31,"TRUE"
"161","3004520911",2018-01-07 16:00:00,32,"TRUE"
"162","3004520911",2018-01-07 17:00:00,31,"TRUE"
"163","3004520911",2018-01-07 18:00:00,31,"TRUE"
"164","3004520911",2018-01-07 19:00:00,84,"TRUE"
"165","3004520911",2018-01-07 20:00:00,151,"TRUE"
"166","3004520911",2018-01-07 21:00:00,97,"TRUE"
"167","3004520911",2018-01-07 22:00:00,56,"TRUE"
"168","3004520911",2018-01-07 23:00:00,32,"TRUE"
"169","3004520911",2018-01-08 00:00:00,37,"TRUE"
"170","3004520911",2018-01-08 01:00:00,30,"TRUE"
"171","3004520911",2018-01-08 02:00:00,25,"TRUE"
"172","3004520911",2018-01-08 03:00:00,26,"TRUE"
"173","3004520911",2018-01-08 04:00:00,21,"TRUE"
"174","3004520911",2018-01-08 05:00:00,29,"TRUE"
"175","3004520911",2018-01-08 06:00:00,44,"TRUE"
"176","3004520911",2018-01-08 07:00:00,40,"TRUE"
"177","3004520911",2018-01-08 08:00:00,43,"TRUE"
"178","3004520911",2018-01-08 09:00:00,50,"TRUE"
"179","3004520911",2018-01-08 10:00:00,23,"TRUE"
"180","3004520911",2018-01-08 11:00:00,22,"TRUE"
"181","3004520911",2018-01-08 12:00:00,23,"TRUE"
"182","3004520911",2018-01-08 13:00:00,23,"TRUE"
"183","3004520911",2018-01-08 14:00:00,22,"TRUE"
"184","3004520911",2018-01-08 15:00:00,22,"TRUE"
"185","3004520911",2018-01-08 16:00:00,23,"TRUE"
"186","3004520911",2018-01-08 17:00:00,23,"TRUE"
"187","3004520911",2018-01-08 18:00:00,22,"TRUE"
"188","3004520911",2018-01-08 19:00:00,22,"TRUE"
"189","3004520911",2018-01-08 20:00:00,22,"TRUE"
"190","3004520911",2018-01-08 21:00:00,26,"TRUE"
"191","3004520911",2018-01-08 22:00:00,57,"TRUE"
"192","3004520911",2018-01-08 23:00:00,79,"TRUE"
"193","3004520911",2018-01-09 00:00:00,53,"TRUE"
"194","3004520911",2018-01-09 01:00:00,48,"TRUE"
"195","3004520911",2018-01-09 02:00:00,22,"TRUE"
"196","3004520911",2018-01-09 03:00:00,22,"TRUE"
"197","3004520911",2018-01-09 04:00:00,24,"TRUE"
"198","3004520911",2018-01-09 05:00:00,32,"TRUE"
"199","3004520911",2018-01-09 06:00:00,45,"TRUE"
"200","3004520911",2018-01-09 07:00:00,53,"TRUE"
"201","3004520911",2018-01-09 08:00:00,40,"TRUE"
"202","3004520911",2018-01-09 09:00:00,55,"TRUE"
"203","3004520911",2018-01-09 10:00:00,22,"TRUE"
"204","3004520911",2018-01-09 11:00:00,21,"TRUE"
"205","3004520911",2018-01-09 12:00:00,20,"TRUE"
"206","3004520911",2018-01-09 13:00:00,21,"TRUE"
"207","3004520911",2018-01-09 14:00:00,21,"TRUE"
"208","3004520911",2018-01-09 15:00:00,20,"TRUE"
"209","3004520911",2018-01-09 16:00:00,21,"TRUE"
"210","3004520911",2018-01-09 17:00:00,21,"TRUE"
"211","3004520911",2018-01-09 18:00:00,21,"TRUE"
"212","3004520911",2018-01-09 19:00:00,36,"TRUE"
"213","3004520911",2018-01-09 20:00:00,45,"TRUE"
"214","3004520911",2018-01-09 21:00:00,53,"TRUE"
"215","3004520911",2018-01-09 22:00:00,75,"TRUE"
"216","3004520911",2018-01-09 23:00:00,23,"TRUE"
"217","3004520911",2018-01-10 00:00:00,26,"TRUE"
"218","3004520911",2018-01-10 01:00:00,32,"TRUE"
"219","3004520911",2018-01-10 02:00:00,40,"TRUE"
"220","3004520911",2018-01-10 03:00:00,21,"TRUE"
"221","3004520911",2018-01-10 04:00:00,33,"TRUE"
"222","3004520911",2018-01-10 05:00:00,47,"TRUE"
"223","3004520911",2018-01-10 06:00:00,43,"TRUE"
"224","3004520911",2018-01-10 07:00:00,45,"TRUE"
"225","3004520911",2018-01-10 08:00:00,40,"TRUE"
"226","3004520911",2018-01-10 09:00:00,51,"TRUE"
"227","3004520911",2018-01-10 10:00:00,22,"TRUE"
"228","3004520911",2018-01-10 11:00:00,21,"TRUE"
"229","3004520911",2018-01-10 12:00:00,21,"TRUE"
"230","3004520911",2018-01-10 13:00:00,21,"TRUE"
"231","3004520911",2018-01-10 14:00:00,21,"TRUE"
"232","3004520911",2018-01-10 15:00:00,21,"TRUE"
"233","3004520911",2018-01-10 16:00:00,20,"TRUE"
"234","3004520911",2018-01-10 17:00:00,21,"TRUE"
"235","3004520911",2018-01-10 18:00:00,21,"TRUE"
"236","3004520911",2018-01-10 19:00:00,20,"TRUE"
"237","3004520911",2018-01-10 20:00:00,21,"TRUE"
"238","3004520911",2018-01-10 21:00:00,21,"TRUE"
"239","3004520911",2018-01-10 22:00:00,50,"TRUE"
"240","3004520911",2018-01-10 23:00:00,76,"TRUE"
"241","3004520911",2018-01-11 00:00:00,29,"TRUE"
"242","3004520911",2018-01-11 01:00:00,21,"TRUE"
"243","3004520911",2018-01-11 02:00:00,21,"TRUE"
"244","3004520911",2018-01-11 03:00:00,21,"TRUE"
"245","3004520911",2018-01-11 04:00:00,28,"TRUE"
"246","3004520911",2018-01-11 05:00:00,49,"TRUE"
"247","3004520911",2018-01-11 06:00:00,64,"TRUE"
"248","3004520911",2018-01-11 07:00:00,46,"TRUE"
"249","3004520911",2018-01-11 08:00:00,20,"TRUE"
"250","3004520911",2018-01-11 09:00:00,21,"TRUE"
"251","3004520911",2018-01-11 10:00:00,20,"TRUE"
"252","3004520911",2018-01-11 11:00:00,40,"TRUE"
"253","3004520911",2018-01-11 12:00:00,56,"TRUE"
"254","3004520911",2018-01-11 13:00:00,24,"TRUE"
"255","3004520911",2018-01-11 14:00:00,21,"TRUE"
"256","3004520911",2018-01-11 15:00:00,21,"TRUE"
"257","3004520911",2018-01-11 16:00:00,21,"TRUE"
"258","3004520911",2018-01-11 17:00:00,21,"TRUE"
"259","3004520911",2018-01-11 18:00:00,20,"TRUE"
"260","3004520911",2018-01-11 19:00:00,21,"TRUE"
"261","3004520911",2018-01-11 20:00:00,21,"TRUE"
"262","3004520911",2018-01-11 21:00:00,33,"TRUE"
"263","3004520911",2018-01-11 22:00:00,88,"TRUE"
"264","3004520911",2018-01-11 23:00:00,91,"TRUE"
"265","3004520911",2018-01-12 00:00:00,0,"TRUE"
"266","3004520911",2018-01-12 01:00:00,0,"TRUE"
"267","3004520911",2018-01-12 02:00:00,0,"TRUE"
"268","3004520911",2018-01-12 03:00:00,0,"TRUE"
"269","3004520911",2018-01-12 04:00:00,8,"TRUE"
"270","3004520911",2018-01-12 05:00:00,26,"TRUE"
"271","3004520911",2018-01-12 06:00:00,42,"TRUE"
"272","3004520911",2018-01-12 07:00:00,63,"TRUE"
"273","3004520911",2018-01-12 08:00:00,51,"TRUE"
"274","3004520911",2018-01-12 09:00:00,20,"TRUE"
"275","3004520911",2018-01-12 10:00:00,20,"TRUE"
"276","3004520911",2018-01-12 11:00:00,19,"TRUE"
"277","3004520911",2018-01-12 12:00:00,19,"TRUE"
"278","3004520911",2018-01-12 13:00:00,20,"TRUE"
"279","3004520911",2018-01-12 14:00:00,19,"TRUE"
"280","3004520911",2018-01-12 15:00:00,19,"TRUE"
"281","3004520911",2018-01-12 16:00:00,19,"TRUE"
"282","3004520911",2018-01-12 17:00:00,19,"TRUE"
"283","3004520911",2018-01-12 18:00:00,19,"TRUE"
"284","3004520911",2018-01-12 19:00:00,18,"TRUE"
"285","3004520911",2018-01-12 20:00:00,19,"TRUE"
"286","3004520911",2018-01-12 21:00:00,22,"TRUE"
"287","3004520911",2018-01-12 22:00:00,44,"TRUE"
"288","3004520911",2018-01-12 23:00:00,53,"TRUE"
"289","3004520911",2018-01-13 00:00:00,19,"TRUE"
"290","3004520911",2018-01-13 01:00:00,21,"TRUE"
"291","3004520911",2018-01-13 02:00:00,24,"TRUE"
"292","3004520911",2018-01-13 03:00:00,18,"TRUE"
"293","3004520911",2018-01-13 04:00:00,19,"TRUE"
"294","3004520911",2018-01-13 05:00:00,23,"TRUE"
"295","3004520911",2018-01-13 06:00:00,53,"TRUE"
"296","3004520911",2018-01-13 07:00:00,66,"TRUE"
"297","3004520911",2018-01-13 08:00:00,19,"TRUE"
"298","3004520911",2018-01-13 09:00:00,19,"TRUE"
"299","3004520911",2018-01-13 10:00:00,21,"TRUE"
"300","3004520911",2018-01-13 11:00:00,24,"TRUE"
"301","3004520911",2018-01-13 12:00:00,45,"TRUE"
"302","3004520911",2018-01-13 13:00:00,66,"TRUE"
"303","3004520911",2018-01-13 14:00:00,29,"TRUE"
"304","3004520911",2018-01-13 15:00:00,33,"TRUE"
"305","3004520911",2018-01-13 16:00:00,23,"TRUE"
"306","3004520911",2018-01-13 17:00:00,21,"TRUE"
"307","3004520911",2018-01-13 18:00:00,24,"TRUE"
"308","3004520911",2018-01-13 19:00:00,24,"TRUE"
"309","3004520911",2018-01-13 20:00:00,23,"TRUE"
"310","3004520911",2018-01-13 21:00:00,22,"TRUE"
"311","3004520911",2018-01-13 22:00:00,22,"TRUE"
"312","3004520911",2018-01-13 23:00:00,24,"TRUE"
"313","3004520911",2018-01-14 00:00:00,63,"TRUE"
"314","3004520911",2018-01-14 01:00:00,83,"TRUE"
"315","3004520911",2018-01-14 02:00:00,30,"TRUE"
"316","3004520911",2018-01-14 03:00:00,35,"TRUE"
"317","3004520911",2018-01-14 04:00:00,24,"TRUE"
"318","3004520911",2018-01-14 05:00:00,24,"TRUE"
"319","3004520911",2018-01-14 06:00:00,21,"TRUE"
"320","3004520911",2018-01-14 07:00:00,21,"TRUE"
"321","3004520911",2018-01-14 08:00:00,20,"TRUE"
"322","3004520911",2018-01-14 09:00:00,21,"TRUE"
"323","3004520911",2018-01-14 10:00:00,20,"TRUE"
"324","3004520911",2018-01-14 11:00:00,26,"TRUE"
"325","3004520911",2018-01-14 12:00:00,42,"TRUE"
"326","3004520911",2018-01-14 13:00:00,55,"TRUE"
"327","3004520911",2018-01-14 14:00:00,47,"TRUE"
"328","3004520911",2018-01-14 15:00:00,47,"TRUE"
"329","3004520911",2018-01-14 16:00:00,73,"TRUE"
"330","3004520911",2018-01-14 17:00:00,83,"TRUE"
"331","3004520911",2018-01-14 18:00:00,101,"TRUE"
"332","3004520911",2018-01-14 19:00:00,60,"TRUE"
"333","3004520911",2018-01-14 20:00:00,50,"TRUE"
"334","3004520911",2018-01-14 21:00:00,28,"TRUE"
"335","3004520911",2018-01-14 22:00:00,37,"TRUE"
"336","3004520911",2018-01-14 23:00:00,50,"TRUE"
"337","3004520911",2018-01-15 00:00:00,49,"TRUE"
"338","3004520911",2018-01-15 01:00:00,50,"TRUE"
"339","3004520911",2018-01-15 02:00:00,49,"TRUE"
"340","3004520911",2018-01-15 03:00:00,41,"TRUE"
"341","3004520911",2018-01-15 04:00:00,24,"TRUE"
"342","3004520911",2018-01-15 05:00:00,32,"TRUE"
"343","3004520911",2018-01-15 06:00:00,51,"TRUE"
"344","3004520911",2018-01-15 07:00:00,51,"TRUE"
"345","3004520911",2018-01-15 08:00:00,37,"TRUE"
"346","3004520911",2018-01-15 09:00:00,45,"TRUE"
"347","3004520911",2018-01-15 10:00:00,25,"TRUE"
"348","3004520911",2018-01-15 11:00:00,26,"TRUE"
"349","3004520911",2018-01-15 12:00:00,25,"TRUE"
"350","3004520911",2018-01-15 13:00:00,25,"TRUE"
"351","3004520911",2018-01-15 14:00:00,25,"TRUE"
"352","3004520911",2018-01-15 15:00:00,24,"TRUE"
"353","3004520911",2018-01-15 16:00:00,25,"TRUE"
"354","3004520911",2018-01-15 17:00:00,24,"TRUE"
"355","3004520911",2018-01-15 18:00:00,25,"TRUE"
"356","3004520911",2018-01-15 19:00:00,25,"TRUE"
