"","service_point_sn","meter_sn","MinCons","start_date","end_date","status","duration","severity","block","floor","unit"
"1","3000979395","VR500472",2,2018-03-14,2018-03-17,"Close",4,"Moderate","YH_B3","#01","909"
"2","3001055600","VR500475",1,2018-05-12,2018-05-17,"Close",6,"Severe","YH_B4","#03","817"
"3","3001048273","VR500603",3,2018-04-11,NA,"Open",54,"Severe","YH_B4","#02","809"
"4","3001049844","VR500604",1,2018-03-17,2018-03-21,"Close",5,"Severe","YH_B4","#02","811"
"5","3001049844","VR500604",1,2018-04-02,2018-04-14,"Close",13,"Severe","YH_B4","#02","811"
"6","3001049844","VR500604",3,2018-05-10,2018-05-25,"Close",16,"Severe","YH_B4","#02","811"
"7","3001051666","VR500605",2,2018-03-06,NA,"Open",90,"Severe","YH_B4","#02","813"
"8","3001053298","VR500606",1,2018-05-11,2018-05-17,"Close",7,"Severe","YH_B4","#02","815"
"9","3001053298","VR500606",1,2018-05-28,NA,"Open",7,"Severe","YH_B4","#02","815"
"10","3003483046","VR500619",92,2018-04-22,2018-05-15,"Close",24,"Critical","YH_B4","#04","809"
"11","3003484740","VR500621",5,2018-04-23,NA,"Open",42,"Severe","YH_B4","#04","813"
"12","3003487432","VR500624",3,2018-03-06,NA,"Open",90,"Severe","YH_B4","#04","819"
"13","3003487450","VR500640",2,2018-05-24,2018-05-30,"Close",7,"Severe","YH_B4","#06","819"
"14","3003483600","VR500643",7,2018-03-06,NA,"Open",90,"Severe","YH_B4","#07","809"
"15","3003483644","VR500659",2,2018-03-29,2018-06-01,"Close",65,"Severe","YH_B4","#09","809"
"16","3003486232","VR500670",3,2018-04-20,2018-04-27,"Close",8,"Severe","YH_B4","#10","815"
"17","3003486232","VR500670",4,2018-05-26,NA,"Open",9,"Severe","YH_B4","#10","815"
"18","3003487410","VR500679",1,2018-04-11,2018-04-14,"Close",4,"Moderate","YH_B4","#11","817"
"19","3003487410","VR500679",3,2018-04-24,2018-04-27,"Close",4,"Moderate","YH_B4","#11","817"
"20","3003487410","VR500679",7,2018-05-21,2018-05-27,"Close",7,"Severe","YH_B4","#11","817"
"21","3003483683","VR500683",2,2018-03-06,NA,"Open",90,"Severe","YH_B4","#12","809"
"22","3003486270","VR500686",9,2018-03-06,NA,"Open",90,"Severe","YH_B4","#12","815"
"23","3001103428","VR500825",1,2018-03-22,2018-03-28,"Close",7,"Severe","YH_B5","#02","759"
"24","3001103428","VR500825",1,2018-05-07,2018-05-10,"Close",4,"Moderate","YH_B5","#02","759"
"25","3001103428","VR500825",1,2018-05-28,2018-06-02,"Close",6,"Severe","YH_B5","#02","759"
"26","3001108193","VR500829",1,2018-03-29,2018-04-03,"Close",6,"Severe","YH_B5","#02","767"
"27","3001108193","VR500829",1,2018-04-30,2018-05-06,"Close",7,"Severe","YH_B5","#02","767"
"28","3001098882","VR500834",1,2018-05-13,2018-05-18,"Close",6,"Severe","YH_B5","#03","753"
"29","3003506321","VR500847",1,2018-05-22,2018-05-27,"Close",6,"Severe","YH_B5","#04","755"
"30","3003505641","VR500885",2,2018-03-29,2018-04-08,"Close",11,"Severe","YH_B5","#08","753"
"31","3003484718","VR501859",1,2018-04-13,2018-04-17,"Close",5,"Severe","YH_B4","#11","811"
"32","3000700257","VR501948",111,2018-04-04,2018-04-12,"Close",9,"Critical","YH_B6","#02","306"
"33","3000703248","VR501958",14,2018-03-12,2018-03-18,"Close",7,"Critical","YH_B6","#03","310"
"34","3000703248","VR501958",1,2018-03-26,2018-04-23,"Close",29,"Severe","YH_B6","#03","310"
"35","3000703248","VR501958",11,2018-04-27,2018-05-02,"Close",6,"Critical","YH_B6","#03","310"
"36","3000703248","VR501958",4,2018-05-15,NA,"Open",20,"Severe","YH_B6","#03","310"
"37","3000704470","VR501959",1,2018-03-07,2018-03-10,"Close",4,"Moderate","YH_B6","#03","312"
"38","3000705658","VR501960",2,2018-04-15,NA,"Open",50,"Severe","YH_B6","#03","314"
"39","3000703260","VR501966",1,2018-04-27,2018-05-01,"Close",5,"Severe","YH_B6","#04","310"
"40","3000703260","VR501966",1,2018-05-27,NA,"Open",8,"Severe","YH_B6","#04","310"
"41","3000704497","VR501967",2,2018-03-06,NA,"Open",90,"Severe","YH_B6","#04","312"
"42","3000705689","VR501968",2,2018-03-08,2018-03-12,"Close",5,"Severe","YH_B6","#04","314"
"43","3000699017","VR501970",19,2018-06-02,NA,"Open",2,"Severe","YH_B6","#05","302"
"44","3000703292","VR501974",4,2018-05-17,NA,"Open",18,"Severe","YH_B6","#05","310"
"45","3003304361","VR501978",57,2018-04-24,2018-04-28,"Close",5,"Critical","YH_B6","#06","302"
"46","3003304978","VR501979",5,2018-03-10,2018-03-13,"Close",4,"Moderate","YH_B6","#06","304"
"47","3003304978","VR501979",3,2018-04-23,2018-05-04,"Close",12,"Severe","YH_B6","#06","304"
"48","3003304978","VR501979",11,2018-05-07,NA,"Open",28,"Critical","YH_B6","#06","304"
"49","3003305397","VR501980",23,2018-05-01,2018-05-04,"Close",4,"Severe","YH_B6","#06","306"
"50","3003306015","VR501988",2,2018-04-18,2018-04-27,"Close",10,"Severe","YH_B6","#07","306"
"51","3003303751","VR501993",1,2018-03-31,NA,"Open",65,"Severe","YH_B6","#08","300"
"52","3003307258","VR501999",9,2018-04-08,NA,"Open",57,"Severe","YH_B6","#08","312"
"53","3003303762","VR502001",10,2018-03-06,NA,"Open",90,"Critical","YH_B6","#09","300"
"54","3003305335","VR502003",1,2018-03-09,NA,"Open",87,"Severe","YH_B6","#09","304"
"55","3003306043","VR502004",1,2018-03-13,2018-03-24,"Close",12,"Severe","YH_B6","#09","306"
"56","3003306043","VR502004",1,2018-03-27,2018-04-06,"Close",11,"Severe","YH_B6","#09","306"
"57","3003306043","VR502004",19,2018-04-12,NA,"Open",53,"Critical","YH_B6","#09","306"
"58","3003306635","VR502021",3,2018-03-06,NA,"Open",90,"Severe","YH_B6","#11","308"
"59","3003304336","VR502025",2,2018-03-24,2018-04-18,"Close",26,"Severe","YH_B6","#12","300"
"60","3003304336","VR502025",1,2018-04-27,2018-05-14,"Close",18,"Severe","YH_B6","#12","300"
"61","3003304336","VR502025",2,2018-05-17,NA,"Open",18,"Severe","YH_B6","#12","300"
"62","3000726669","VR502034",1,2018-05-14,2018-05-18,"Close",5,"Severe","YH_B7","#01","400"
"63","3000673213","VR502748",2,2018-03-06,NA,"Open",90,"Severe","YH_B1","#03","287"
"64","3003289696","VR502751",2,2018-03-21,2018-04-01,"Close",12,"Severe","YH_B1","#04","285"
"65","3003289696","VR502751",6,2018-04-05,2018-04-18,"Close",14,"Severe","YH_B1","#04","285"
"66","3003289696","VR502751",1,2018-05-27,NA,"Open",8,"Severe","YH_B1","#04","285"
"67","3003288220","VR502766",3,2018-03-14,2018-03-18,"Close",5,"Severe","YH_B1","#08","283"
"68","3003288220","VR502766",5,2018-03-25,2018-03-29,"Close",5,"Severe","YH_B1","#08","283"
"69","3003286308","VR502773",6,2018-04-11,2018-04-24,"Close",14,"Severe","YH_B1","#10","281"
"70","3003286319","VR502777",4,2018-03-06,2018-05-11,"Close",67,"Severe","YH_B1","#11","281"
"71","3003288264","VR502778",7,2018-04-05,2018-04-20,"Close",16,"Severe","YH_B1","#11","283"
"72","3003289147","VR502802",2,2018-04-10,2018-04-16,"Close",7,"Severe","YH_B1","#17","283"
"73","3003286941","VR502813",2,2018-04-15,2018-04-19,"Close",5,"Severe","YH_B1","#20","281"
"74","3003289183","VR502814",3,2018-03-18,2018-03-21,"Close",4,"Moderate","YH_B1","#20","283"
"75","3003289183","VR502814",5,2018-04-03,2018-04-14,"Close",12,"Severe","YH_B1","#20","283"
"76","3003286947","VR502817",3,2018-03-14,2018-04-01,"Close",19,"Severe","YH_B1","#21","281"
"77","3003286947","VR502817",1,2018-04-14,2018-04-18,"Close",5,"Severe","YH_B1","#21","281"
"78","3003286947","VR502817",3,2018-05-01,2018-05-28,"Close",28,"Severe","YH_B1","#21","281"
"79","3003293297","VR502820",3,2018-03-06,2018-03-20,"Close",15,"Severe","YH_B1","#21","287"
"80","3003293297","VR502820",7,2018-04-27,2018-05-04,"Close",8,"Severe","YH_B1","#21","287"
"81","3003286998","VR502833",1,2018-04-21,2018-04-24,"Close",4,"Moderate","YH_B1","#25","281"
"82","3003289668","VR502834",1,2018-03-10,2018-03-14,"Close",5,"Severe","YH_B1","#25","283"
"83","3003367728","VR503175",2,2018-04-30,2018-05-09,"Close",10,"Severe","YH_B2","#06","419"
"84","3003304315","WJ001538",1,2018-04-24,2018-04-27,"Close",4,"Moderate","YH_B6","#11","300"
