"high_flow","high_shower_usage","online_status","AverageMonthlyConsumption","ID"
FALSE,FALSE,"ACTIVE",17330,"3004478961"
FALSE,FALSE,"ACTIVE",11696,"3004521048"
FALSE,FALSE,"ACTIVE",19096,"3100250014"
FALSE,FALSE,"INACTIVE",10260,"3100250026"
FALSE,FALSE,"ACTIVE",14422,"3100250206"
FALSE,FALSE,"INACTIVE",1801,"3100250162"
FALSE,FALSE,"INACTIVE",6241,"3005448567"
FALSE,FALSE,"INACTIVE",11876,"3100159983"
FALSE,FALSE,"INACTIVE",6236,"3005448527"
FALSE,FALSE,"ACTIVE",9322,"3100250354"
FALSE,FALSE,"INACTIVE",8141,"3100159619"
FALSE,FALSE,"ACTIVE",7949,"3005448615"
FALSE,FALSE,"ACTIVE",18447,"3005448515"
FALSE,FALSE,"INACTIVE",4351,"3005448579"
FALSE,FALSE,"ACTIVE",9862,"3100159639"
FALSE,FALSE,"ACTIVE",26644,"3004479342"
FALSE,TRUE,"INACTIVE",24053,"3100159915"
FALSE,FALSE,"ACTIVE",18158,"3004479059"
FALSE,FALSE,"ACTIVE",26517,"3004479091"
FALSE,FALSE,"INACTIVE",23132,"3004521061"
FALSE,FALSE,"INACTIVE",11160,"3005448607"
FALSE,FALSE,"ACTIVE",16977,"3005448659"
FALSE,FALSE,"ACTIVE",7885,"3100159655"
FALSE,FALSE,"ACTIVE",19317,"3004479020"
FALSE,FALSE,"ACTIVE",12371,"3004479731"
FALSE,FALSE,"ACTIVE",6006,"3004520700"
FALSE,FALSE,"ACTIVE",15917,"3100249934"
FALSE,FALSE,"ACTIVE",4435,"3005448471"
FALSE,FALSE,"ACTIVE",15792,"3100159935"
FALSE,FALSE,"ACTIVE",8213,"3004479408"
FALSE,FALSE,"INACTIVE",10095,"3005448487"
FALSE,FALSE,"INACTIVE",5789,"3100159867"
FALSE,FALSE,"ACTIVE",12358,"3004478999"
FALSE,FALSE,"ACTIVE",16391,"3004521715"
FALSE,FALSE,"INACTIVE",4284,"3100250270"
FALSE,FALSE,"ACTIVE",15643,"3100250038"
FALSE,FALSE,"ACTIVE",2643,"3100250218"
FALSE,FALSE,"INACTIVE",7340,"3100250042"
FALSE,TRUE,"ACTIVE",18110,"3100250058"
FALSE,FALSE,"INACTIVE",4730,"3005448439"
FALSE,FALSE,"INACTIVE",8517,"3004522239"
FALSE,FALSE,"INACTIVE",4430,"3100159599"
FALSE,TRUE,"INACTIVE",12516,"3004478892"
FALSE,FALSE,"INACTIVE",7395,"3100250234"
FALSE,FALSE,"INACTIVE",8118,"3004522045"
FALSE,FALSE,"INACTIVE",25490,"3004478658"
FALSE,FALSE,"INACTIVE",5806,"3004522310"
FALSE,TRUE,"INACTIVE",20445,"3004478742"
FALSE,FALSE,"INACTIVE",7237,"3100159927"
FALSE,FALSE,"ACTIVE",4249,"3100250018"
FALSE,FALSE,"INACTIVE",7218,"3004479786"
FALSE,FALSE,"INACTIVE",6520,"3004521658"
FALSE,FALSE,"ACTIVE",8906,"3100159555"
FALSE,FALSE,"INACTIVE",12646,"3004521979"
FALSE,FALSE,"ACTIVE",30464,"3004479917"
FALSE,FALSE,"ACTIVE",15310,"3004479927"
FALSE,FALSE,"ACTIVE",20316,"3004521692"
FALSE,FALSE,"INACTIVE",18135,"3004522297"
FALSE,FALSE,"INACTIVE",6432,"3100250074"
FALSE,FALSE,"INACTIVE",4461,"3100250138"
FALSE,FALSE,"INACTIVE",10678,"3100250278"
FALSE,FALSE,"INACTIVE",13990,"3100249982"
FALSE,FALSE,"ACTIVE",7935,"3100250358"
FALSE,FALSE,"ACTIVE",11760,"3100249942"
FALSE,FALSE,"ACTIVE",6206,"3005448611"
FALSE,FALSE,"INACTIVE",19979,"3100159523"
FALSE,FALSE,"ACTIVE",7539,"3100159727"
FALSE,FALSE,"ACTIVE",15512,"3004521680"
FALSE,FALSE,"ACTIVE",5210,"3100250326"
FALSE,FALSE,"ACTIVE",11707,"3005448767"
FALSE,FALSE,"ACTIVE",10994,"3005448451"
TRUE,TRUE,"ACTIVE",28521,"3100250062"
FALSE,FALSE,"ACTIVE",3004,"3005448459"
FALSE,FALSE,"INACTIVE",10949,"3100250198"
FALSE,FALSE,"ACTIVE",10104,"3005448651"
FALSE,FALSE,"ACTIVE",12317,"3004521123"
FALSE,FALSE,"ACTIVE",4913,"3100250066"
FALSE,FALSE,"ACTIVE",7265,"3100159747"
FALSE,FALSE,"INACTIVE",13265,"3100159911"
FALSE,FALSE,"ACTIVE",4077,"3100159507"
FALSE,FALSE,"INACTIVE",2770,"3100250306"
FALSE,FALSE,"ACTIVE",8648,"3005448631"
FALSE,TRUE,"ACTIVE",15679,"3004479551"
FALSE,FALSE,"ACTIVE",4181,"3004521705"
FALSE,FALSE,"INACTIVE",18125,"3100159891"
FALSE,FALSE,"ACTIVE",9062,"3100159859"
FALSE,FALSE,"ACTIVE",13160,"3100159799"
FALSE,FALSE,"ACTIVE",4320,"3005448519"
FALSE,FALSE,"ACTIVE",2342,"3004479332"
FALSE,FALSE,"ACTIVE",3667,"3100250114"
FALSE,FALSE,"ACTIVE",5491,"3100250002"
FALSE,FALSE,"ACTIVE",6330,"3100250246"
FALSE,FALSE,"INACTIVE",7907,"3005448467"
FALSE,FALSE,"ACTIVE",11186,"3005448687"
FALSE,FALSE,"ACTIVE",9337,"3100160007"
FALSE,FALSE,"ACTIVE",9853,"3100159683"
FALSE,TRUE,"ACTIVE",24081,"3100159971"
FALSE,FALSE,"ACTIVE",6067,"3005448743"
FALSE,FALSE,"ACTIVE",3283,"3005448447"
FALSE,FALSE,"ACTIVE",4424,"3100159575"
FALSE,FALSE,"ACTIVE",11625,"3004520778"
FALSE,FALSE,"ACTIVE",8691,"3100159743"
FALSE,FALSE,"ACTIVE",4702,"3100159811"
FALSE,FALSE,"ACTIVE",9171,"3100159579"
FALSE,FALSE,"ACTIVE",22403,"3100249890"
FALSE,FALSE,"ACTIVE",1378,"3100250250"
FALSE,FALSE,"ACTIVE",6027,"3100250170"
FALSE,FALSE,"ACTIVE",14526,"3004521454"
FALSE,FALSE,"INACTIVE",22509,"3004521473"
FALSE,FALSE,"ACTIVE",6525,"3100250314"
FALSE,TRUE,"ACTIVE",21756,"3100159963"
FALSE,FALSE,"INACTIVE",4135,"3004522014"
FALSE,FALSE,"ACTIVE",11285,"3004479948"
FALSE,FALSE,"ACTIVE",8146,"3004520929"
FALSE,FALSE,"ACTIVE",24675,"3004521232"
FALSE,FALSE,"ACTIVE",13208,"3004521613"
FALSE,FALSE,"ACTIVE",12133,"3004520810"
FALSE,FALSE,"ACTIVE",2389,"3100250210"
FALSE,FALSE,"ACTIVE",9953,"3100159839"
FALSE,FALSE,"ACTIVE",16068,"3100159723"
FALSE,FALSE,"ACTIVE",13375,"3004521783"
TRUE,TRUE,"INACTIVE",36383,"3100250194"
FALSE,FALSE,"INACTIVE",9468,"3005448483"
FALSE,FALSE,"INACTIVE",12157,"3100250130"
FALSE,FALSE,"INACTIVE",1431,"3004479897"
FALSE,FALSE,"ACTIVE",9973,"3005448435"
FALSE,FALSE,"ACTIVE",13126,"3100249906"
FALSE,FALSE,"ACTIVE",12642,"3100249954"
FALSE,FALSE,"ACTIVE",10026,"3100159939"
FALSE,FALSE,"ACTIVE",1330,"3100250146"
FALSE,FALSE,"ACTIVE",9513,"3100159803"
FALSE,FALSE,"ACTIVE",7523,"3005448715"
FALSE,FALSE,"ACTIVE",5832,"3005448699"
FALSE,FALSE,"ACTIVE",11601,"3004522229"
FALSE,FALSE,"INACTIVE",8556,"3100159771"
FALSE,FALSE,"INACTIVE",13727,"3100159651"
FALSE,FALSE,"ACTIVE",13346,"3004521743"
FALSE,FALSE,"INACTIVE",11817,"3004522092"
FALSE,FALSE,"ACTIVE",4676,"3004521305"
FALSE,FALSE,"ACTIVE",24658,"3004521366"
FALSE,FALSE,"INACTIVE",14188,"3004521770"
FALSE,FALSE,"ACTIVE",5790,"3100159879"
FALSE,FALSE,"ACTIVE",9424,"3005448791"
FALSE,FALSE,"ACTIVE",12072,"3004522126"
FALSE,FALSE,"INACTIVE",3988,"3005448647"
FALSE,FALSE,"INACTIVE",14074,"3100159967"
FALSE,FALSE,"INACTIVE",13956,"3100250338"
FALSE,FALSE,"ACTIVE",5398,"3100250050"
TRUE,TRUE,"ACTIVE",35985,"3005448479"
FALSE,FALSE,"INACTIVE",13085,"3005448543"
FALSE,FALSE,"ACTIVE",5708,"3005448431"
FALSE,FALSE,"ACTIVE",4752,"3005448635"
FALSE,FALSE,"INACTIVE",4774,"3100159591"
FALSE,FALSE,"INACTIVE",1465,"3100250082"
FALSE,FALSE,"ACTIVE",15994,"3004480243"
FALSE,FALSE,"INACTIVE",7577,"3100159531"
FALSE,FALSE,"ACTIVE",6923,"3100159667"
FALSE,FALSE,"INACTIVE",11507,"3004478810"
FALSE,FALSE,"INACTIVE",8203,"3005448755"
FALSE,FALSE,"ACTIVE",11949,"3004479444"
FALSE,FALSE,"INACTIVE",6621,"3005448703"
FALSE,FALSE,"INACTIVE",21430,"3004521824"
FALSE,TRUE,"ACTIVE",19808,"3005448723"
FALSE,FALSE,"ACTIVE",5044,"3100159659"
FALSE,FALSE,"INACTIVE",20347,"3004520791"
FALSE,FALSE,"INACTIVE",4458,"3100250078"
FALSE,FALSE,"INACTIVE",9558,"3004520724"
FALSE,FALSE,"ACTIVE",8050,"3004520954"
FALSE,FALSE,"INACTIVE",11821,"3004520840"
FALSE,TRUE,"INACTIVE",18996,"3004520867"
FALSE,FALSE,"INACTIVE",28549,"3004522256"
FALSE,FALSE,"ACTIVE",11240,"3004478769"
FALSE,FALSE,"ACTIVE",11692,"3004480290"
FALSE,FALSE,"ACTIVE",17303,"3004478847"
FALSE,FALSE,"INACTIVE",18131,"3004521564"
FALSE,FALSE,"ACTIVE",16252,"3004479045"
FALSE,FALSE,"ACTIVE",17629,"3004478795"
FALSE,FALSE,"ACTIVE",12716,"3100159627"
FALSE,FALSE,"INACTIVE",7612,"3004521137"
FALSE,FALSE,"INACTIVE",5269,"3100250090"
FALSE,FALSE,"INACTIVE",5545,"3100250110"
FALSE,FALSE,"ACTIVE",7687,"3100249914"
FALSE,FALSE,"INACTIVE",16319,"3100250230"
FALSE,FALSE,"INACTIVE",4241,"3100250094"
FALSE,FALSE,"INACTIVE",2841,"3100250154"
FALSE,FALSE,"ACTIVE",5470,"3100249994"
FALSE,FALSE,"INACTIVE",6867,"3100250174"
FALSE,FALSE,"ACTIVE",16662,"3004479975"
FALSE,TRUE,"ACTIVE",37377,"3004479870"
TRUE,TRUE,"ACTIVE",41092,"3004479584"
FALSE,FALSE,"INACTIVE",8510,"3100249938"
FALSE,FALSE,"ACTIVE",9452,"3004480067"
FALSE,FALSE,"ACTIVE",13021,"3005448443"
FALSE,FALSE,"INACTIVE",2483,"3004480168"
FALSE,FALSE,"INACTIVE",5964,"3005448575"
FALSE,FALSE,"ACTIVE",13804,"3004522058"
FALSE,FALSE,"INACTIVE",3673,"3004479244"
FALSE,TRUE,"ACTIVE",19849,"3004479606"
FALSE,FALSE,"INACTIVE",8605,"3004521852"
TRUE,TRUE,"INACTIVE",23089,"3004522137"
FALSE,FALSE,"ACTIVE",14995,"3004480211"
FALSE,FALSE,"INACTIVE",23187,"3004522190"
FALSE,FALSE,"ACTIVE",7238,"3004521097"
FALSE,FALSE,"ACTIVE",12654,"3004522107"
FALSE,FALSE,"INACTIVE",54,"3100249950"
FALSE,FALSE,"ACTIVE",9757,"3004522204"
FALSE,FALSE,"ACTIVE",9957,"3100250010"
FALSE,FALSE,"ACTIVE",16397,"3004520894"
FALSE,FALSE,"INACTIVE",11785,"3100249958"
FALSE,FALSE,"ACTIVE",18307,"3100249970"
FALSE,FALSE,"ACTIVE",16185,"3004480042"
FALSE,FALSE,"INACTIVE",2120,"3100250158"
FALSE,FALSE,"ACTIVE",6783,"3100250030"
FALSE,FALSE,"INACTIVE",7701,"3100250346"
FALSE,FALSE,"ACTIVE",21773,"3100249930"
FALSE,FALSE,"ACTIVE",10326,"3004479799"
FALSE,FALSE,"ACTIVE",1005,"3100250266"
FALSE,FALSE,"ACTIVE",6783,"3005448547"
FALSE,FALSE,"ACTIVE",10132,"3100159611"
FALSE,FALSE,"INACTIVE",20626,"3100159815"
FALSE,FALSE,"INACTIVE",4312,"3100159991"
FALSE,TRUE,"INACTIVE",16156,"3100159587"
FALSE,FALSE,"INACTIVE",6148,"3100159551"
FALSE,FALSE,"INACTIVE",9933,"3100159755"
TRUE,TRUE,"ACTIVE",28298,"3100159827"
FALSE,FALSE,"INACTIVE",4549,"3100159767"
FALSE,FALSE,"ACTIVE",6857,"3005448523"
FALSE,FALSE,"INACTIVE",12819,"3100159871"
FALSE,TRUE,"INACTIVE",21100,"3100159823"
FALSE,FALSE,"INACTIVE",5799,"3100250262"
FALSE,FALSE,"ACTIVE",8844,"3100159635"
FALSE,FALSE,"ACTIVE",16093,"3100159875"
FALSE,FALSE,"ACTIVE",5743,"3005448707"
FALSE,FALSE,"ACTIVE",3581,"3100159787"
FALSE,FALSE,"ACTIVE",3651,"3100159995"
FALSE,FALSE,"INACTIVE",5720,"3100159943"
FALSE,FALSE,"INACTIVE",15544,"3100250350"
FALSE,FALSE,"ACTIVE",5651,"3100159931"
FALSE,FALSE,"ACTIVE",2107,"3005448587"
FALSE,FALSE,"INACTIVE",13103,"3100160011"
FALSE,FALSE,"ACTIVE",3702,"3005448455"
FALSE,FALSE,"ACTIVE",12654,"3100159607"
FALSE,FALSE,"INACTIVE",5805,"3005448779"
FALSE,FALSE,"INACTIVE",3151,"3005448583"
TRUE,TRUE,"ACTIVE",27509,"3100159819"
FALSE,FALSE,"INACTIVE",11087,"3005448663"
FALSE,FALSE,"INACTIVE",10948,"3100159691"
FALSE,FALSE,"INACTIVE",5376,"3005448727"
FALSE,FALSE,"INACTIVE",5221,"3100159923"
FALSE,FALSE,"INACTIVE",12616,"3100159955"
FALSE,FALSE,"ACTIVE",5146,"3100159487"
FALSE,FALSE,"ACTIVE",7563,"3100159759"
FALSE,FALSE,"INACTIVE",2092,"3100159999"
FALSE,FALSE,"INACTIVE",9165,"3100159783"
FALSE,FALSE,"ACTIVE",4165,"3004478988"
FALSE,FALSE,"INACTIVE",12737,"3100159791"
FALSE,FALSE,"INACTIVE",17453,"3004478755"
FALSE,FALSE,"INACTIVE",10075,"3005448775"
FALSE,FALSE,"INACTIVE",9343,"3100159887"
FALSE,FALSE,"INACTIVE",5563,"3100159883"
FALSE,FALSE,"ACTIVE",6819,"3004479193"
FALSE,FALSE,"INACTIVE",6111,"3005448679"
